time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-19T02:50:53.110Z,-5.6331,153.5318,40.2,5.1,mb,,130,1.977,1,us,us200082gw,2016-12-19T03:19:22.040Z,"140km SSE of Taron, Papua New Guinea",earthquake,10,7.1,0.077,54,reviewed,us,us
2016-12-19T02:38:24.780Z,-45.1657,167.3397,75.69,4.5,mb,,67,0.326,1.07,us,us200082gp,2016-12-19T03:01:27.040Z,"40km NW of Te Anau, New Zealand",earthquake,5.6,5.3,0.125,19,reviewed,us,us
2016-12-19T02:29:15.330Z,13.8463,144.9588,121.37,4.6,mb,,93,0.27,1.01,us,us200082gq,2016-12-19T04:18:41.709Z,"35km NNE of Yigo Village, Guam",earthquake,9.6,5.3,0.06,82,reviewed,us,us
2016-12-18T23:27:25.250Z,-1.9637,140.4571,14.95,4.7,mb,,100,14.217,0.43,us,us200082fu,2016-12-19T00:12:01.040Z,"68km NNW of Jayapura, Indonesia",earthquake,12.2,4.9,0.099,31,reviewed,us,us
2016-12-18T21:10:12.730Z,-6.125,154.3254,35,4.9,mb,,64,2.885,1.14,us,us200082f6,2016-12-18T22:08:50.040Z,"130km W of Panguna, Papua New Guinea",earthquake,7.6,2,0.077,53,reviewed,us,us
2016-12-18T19:57:53.870Z,-6.0593,154.7084,35,5.4,mb,,24,3.141,0.93,us,us200082ew,2016-12-18T22:10:49.994Z,"90km WNW of Panguna, Papua New Guinea",earthquake,8.4,1.9,0.054,119,reviewed,us,us
2016-12-18T19:55:25.010Z,-6.1347,154.347,62.85,4.9,mb,,99,2.907,0.96,us,us200082et,2016-12-18T20:23:05.040Z,"127km W of Panguna, Papua New Guinea",earthquake,8.8,5.5,0.117,23,reviewed,us,us
2016-12-18T19:49:48.610Z,-6.4055,154.1921,62.75,5,mb,,101,2.986,0.89,us,us200082es,2016-12-18T20:05:38.040Z,"143km W of Panguna, Papua New Guinea",earthquake,9.2,7.2,0.118,23,reviewed,us,us
2016-12-18T19:24:44.070Z,5.4001,94.5953,53.21,5.2,mb,,65,2.348,0.66,us,us200082ej,2016-12-18T19:49:04.040Z,"82km WSW of Banda Aceh, Indonesia",earthquake,7.9,5.1,0.052,122,reviewed,us,us
2016-12-18T19:17:40.370Z,-19.937,-173.1029,10,5.4,mb,,74,3.115,1.64,us,us200082ei,2016-12-18T19:38:17.040Z,"131km E of Pangai, Tonga",earthquake,5.2,1.8,0.08,53,reviewed,us,us
2016-12-18T16:30:32.720Z,18.41,-155.5172,36.526,4.5,ml,,311,0.584,0.67,us,us200082cz,2016-12-19T04:46:39.120Z,"77km SSE of Hawaiian Ocean View, Hawaii",earthquake,3.3,8.5,0.198,31,reviewed,hv,hv
2016-12-18T14:41:57.030Z,-5.7455,153.7509,10,5,mb,,98,2.21,0.93,us,us200082ch,2016-12-18T15:49:07.040Z,"162km SSE of Taron, Papua New Guinea",earthquake,6.4,1.6,0.077,54,reviewed,us,us
2016-12-18T13:30:11.190Z,-9.9705,-70.9655,619.4,6.4,mww,,11,2.812,0.65,us,us200082an,2016-12-18T21:35:23.782Z,"201km S of Tarauaca, Brazil",earthquake,9.1,3.5,,,reviewed,us,us
2016-12-18T13:06:01.620Z,-5.548,153.5741,37.64,4.7,mb,,81,1.947,1.15,us,us200082b3,2016-12-18T15:24:35.040Z,"133km SSE of Taron, Papua New Guinea",earthquake,6.5,8.1,0.089,38,reviewed,us,us
2016-12-18T12:49:48.800Z,-22.2151,170.0913,19.67,5.1,mb,,101,2.049,0.98,us,us2000829x,2016-12-18T13:04:39.040Z,"202km W of Ile Hunter, New Caledonia",earthquake,8.5,5.3,0.099,33,reviewed,us,us
2016-12-18T12:08:55.440Z,-6.3353,154.4858,38.48,4.6,mb,,92,3.143,1.01,us,us2000829f,2016-12-18T12:25:13.040Z,"110km W of Panguna, Papua New Guinea",earthquake,10.7,9.1,0.122,20,reviewed,us,us
2016-12-18T11:35:48.560Z,-10.1992,161.1998,59.94,5.5,mb,,92,1.447,0.81,us,us20008293,2016-12-18T13:41:29.429Z,"83km WNW of Kirakira, Solomon Islands",earthquake,8.1,6.6,0.053,122,reviewed,us,us
2016-12-18T10:07:05.370Z,-6.4509,154.372,29.3,4.9,mb,,123,3.142,1.34,us,us2000828s,2016-12-18T10:56:21.040Z,"124km W of Panguna, Papua New Guinea",earthquake,10.1,4.1,0.114,24,reviewed,us,us
2016-12-18T09:57:38.750Z,-10.9393,164.4646,42.95,5.3,mb,,110,4.69,0.88,us,us2000828m,2016-12-18T10:15:15.040Z,"151km W of Lata, Solomon Islands",earthquake,9.8,2.1,0.068,72,reviewed,us,us
2016-12-18T09:47:04.920Z,8.3345,137.6685,13.18,6.1,mwb,,37,8.787,1.07,us,us2000828l,2016-12-18T14:06:11.000Z,"24km ESE of Ngulu, Micronesia",earthquake,8.3,3.4,0.055,32,reviewed,us,us
2016-12-18T07:39:12.290Z,-6.5223,154.2178,10,4.8,mb,,64,3.089,0.9,us,us2000827a,2016-12-18T08:02:50.040Z,"142km W of Panguna, Papua New Guinea",earthquake,3.6,1.9,0.073,58,reviewed,us,us
2016-12-18T07:13:08.220Z,-6.4356,154.5121,42.66,5.1,mb,,31,3.231,0.9,us,us20008270,2016-12-18T07:35:12.040Z,"108km W of Panguna, Papua New Guinea",earthquake,9.2,6.2,0.049,137,reviewed,us,us
2016-12-18T06:39:43.390Z,-6.3318,154.3365,10,5.8,mww,,51,3.033,1.42,us,us2000826m,2016-12-18T15:37:43.000Z,"127km W of Panguna, Papua New Guinea",earthquake,7.6,1.9,,,reviewed,us,us
2016-12-18T06:15:46.580Z,-34.9152,-107.7953,10,5.1,mb,,156,27.628,0.78,us,us2000826e,2016-12-18T06:33:21.040Z,Southern East Pacific Rise,earthquake,14.8,1.9,0.055,106,reviewed,us,us
